Date,AveragePrice,Total Volume,type,region
2015-12-27,1.33,64236.62,conventional,Albany
2015-12-20,1.35,54876.98,conventional,Albany
2015-12-13,0.93,118220.22,conventional,Albany
2015-12-06,1.08,78992.15,conventional,Albany
2015-11-29,1.28,51039.6,conventional,Albany
2015-11-22,1.26,55979.78,conventional,Albany
2015-11-15,0.99,83453.76,conventional,Albany
2015-11-08,0.98,109428.33,conventional,Albany
2015-11-01,1.02,99811.42,conventional,Albany
2015-10-25,1.07,74338.76,conventional,Albany
2015-10-18,1.12,84843.44,conventional,Albany
2015-10-11,1.28,64489.17,conventional,Albany
2015-10-04,1.31,61007.1,conventional,Albany
2015-09-27,0.99,106803.39,conventional,Albany
2015-09-20,1.33,69759.01,conventional,Albany
2015-09-13,1.28,76111.27,conventional,Albany
2015-09-06,1.11,99172.96,conventional,Albany
2015-08-30,1.07,105693.84,conventional,Albany
2015-08-23,1.34,79992.09,conventional,Albany
2015-08-16,1.33,80043.78,conventional,Albany
2015-08-09,1.12,111140.93,conventional,Albany
2015-08-02,1.45,75133.1,conventional,Albany
2015-07-26,1.11,106757.1,conventional,Albany
2015-07-19,1.26,96617.0,conventional,Albany
2015-07-12,1.05,124055.31,conventional,Albany
2015-07-05,1.35,109252.12,conventional,Albany
2015-06-28,1.37,89534.81,conventional,Albany
2015-06-21,1.27,104849.39,conventional,Albany
2015-06-14,1.32,89631.3,conventional,Albany
2015-06-07,1.07,122743.06,conventional,Albany
2015-05-31,1.23,95123.62,conventional,Albany
2015-05-24,1.19,101470.91,conventional,Albany
2015-05-17,1.43,109857.47,conventional,Albany
2015-05-10,1.26,120427.91,conventional,Albany
2015-05-03,1.2,59197.67,conventional,Albany
2015-04-26,1.22,49585.46,conventional,Albany
2015-04-19,1.19,49064.73,conventional,Albany
2015-04-12,1.13,48364.29,conventional,Albany
2015-04-05,1.16,47362.13,conventional,Albany
2015-03-29,1.02,67799.08,conventional,Albany
2015-03-22,1.12,46346.85,conventional,Albany
2015-03-15,1.11,43045.79,conventional,Albany
2015-03-08,1.07,40507.36,conventional,Albany
2015-03-01,0.99,55595.74,conventional,Albany
2015-02-22,1.07,45675.05,conventional,Albany
2015-02-15,1.06,41567.62,conventional,Albany
2015-02-08,0.99,51253.97,conventional,Albany
2015-02-01,0.99,70873.6,conventional,Albany
