index,value
0,73
1,69
2,26
3,64
4,63
5,27
6,54
7,48
8,32
9,21
10,63
11,47
12,38
13,60
14,20
15,21
16,19
17,31
18,75
19,55
20,48
21,93
22,16
23,78
24,50
25,43
26,17
27,60
28,68
29,60
30,36
31,25
32,78
33,68
34,63
35,33
36,38
37,75
38,95
39,36
40,28
41,41
42,84
43,48
44,59
45,30
46,51
47,91
48,41
49,47
50,48
51,61
52,36
53,64
54,46
55,11
56,31
57,26
58,80
59,39
60,46
61,23
62,27
63,41
64,17
65,41
66,81
67,44
68,59
69,75
70,38
71,64
72,58
73,102
74,26
75,42
76,34
77,90
78,54
79,58
80,54
81,82
82,45
83,48
84,25
85,73
86,48
87,25
88,62
89,65
90,39
91,31
92,32
93,67
94,25
95,64
96,15
97,39
98,56
99,51
100,41
101,65
102,87
103,18
104,48
105,63
106,66
107,10
108,51
109,67
110,52
111,58
112,31
113,71
114,69
115,61
116,65
117,46
118,31
119,63
120,16
121,75
122,71
123,34
124,40
125,62
126,67
127,22
128,54
129,27
130,43
131,68
132,45
133,71
134,63
135,52
136,35
137,35
138,43
139,80
140,32
141,73
142,80
143,71
144,77
145,89
146,45
147,76
148,30
149,46
150,39
151,54
152,60
153,31
154,46
155,47
156,57
157,56
158,59
159,54
160,32
161,61
162,39
163,97
164,5
165,94
166,52
167,44
168,73
169,45
170,79
171,43
172,34
173,39
174,61
175,47
176,34
177,38
178,64
179,35
180,42
181,39
182,38
183,38
184,103
185,48
186,70
187,54
188,41
189,17
190,45
191,32
192,31
193,84
194,86
195,11
196,50
197,54
198,73
199,72
200,33
201,60
202,38
203,52
204,40
205,70
206,21
207,53
208,42
209,50
210,43
211,78
212,55
213,42
214,67
215,27
216,57
217,53
218,87
219,17
220,39
221,39
222,36
223,67
224,16
225,37
226,35
227,24
228,44
229,64
230,62
231,62
232,61
233,59
234,23
235,43
236,59
237,73
238,41
239,56
240,64
241,30
242,52
243,36
244,27
245,65
246,55
247,17
248,55
249,33
250,46
251,18
252,47
253,14
254,91
255,71
256,52
257,56
258,66
259,91
260,66
261,71
262,60
263,6
264,39
265,50
266,7
267,56
268,19
269,46
270,44
271,78
272,47
273,34
274,43
275,35
276,78
277,36
278,99
279,41
280,47
281,47
282,82
283,82
284,34
285,56
286,22
287,60
288,29
289,48
290,63
291,34
292,79
293,84
294,26
295,82
296,24
297,56
298,29
299,65
300,44
301,47
302,58
303,38
304,45
305,32
306,55
307,38
308,76
309,44
310,20
311,49
312,19
313,87
314,20
315,32
316,71
317,73
318,62
319,36
320,101
321,40
322,65
323,34
324,71
325,49
326,73
327,39
328,39
329,66
330,87
331,23
332,100
333,53
334,45
335,40
336,84
337,50
338,55
339,109
340,23
341,38
342,51
343,61
344,35
345,73
346,12
347,64
348,71
349,89
350,63
351,45
352,34
353,81
354,83
355,60
356,64
357,90
358,49
359,45
360,56
361,31
362,28
363,64
364,48
365,4
366,38
367,66
368,38
369,37
370,21
371,56
372,35
373,60
374,52
375,16
376,59
377,63
378,57
379,64
380,47
381,51
382,25
383,60
384,79
385,18
386,46
387,60
388,51
389,48
390,6
391,39
392,32
393,95
394,47
395,30
396,55
397,41
398,37
399,38
400,30
401,103
402,95
403,29
404,56
405,38
406,83
407,51
408,66
409,61
410,70
411,38
412,82
413,64
414,50
415,70
416,81
417,41
418,45
419,89
420,67
421,51
422,49
423,42
424,44
425,51
426,65
427,78
428,52
429,64
430,67
431,46
432,69
433,60
434,42
435,38
436,44
437,65
438,41
439,46
440,64
441,83
442,55
443,89
444,55
445,35
446,65
447,62
448,32
449,56
450,77
451,30
452,31
453,61
454,45
455,66
456,20
457,-12
458,71
459,11
460,51
461,29
462,59
463,71
464,43
465,56
466,87
467,34
468,53
469,40
470,70
471,40
472,43
473,42
474,57
475,67
476,50
477,79
478,58
479,56
480,48
481,48
482,63
483,69
484,49
485,80
486,32
487,26
488,8
489,47
490,13
491,40
492,44
493,50
494,54
495,29
496,44
497,55
498,63
499,15
500,52
501,53
502,72
503,85
504,25
505,39
506,80
507,57
508,38
509,47
510,31
511,74
512,57
513,63
514,36
515,32
516,43
517,39
518,26
519,50
520,88
521,42
522,70
523,61
524,72
525,24
526,66
527,50
528,72
529,84
530,81
531,17
532,60
533,60
534,25
535,35
536,23
537,79
538,58
539,52
540,101
541,55
542,47
543,40
544,53
545,39
546,26
547,63
548,52
549,49
550,53
551,18
552,35
553,68
554,46
555,76
556,91
557,57
558,36
559,38
560,35
561,49
562,48
563,15
564,88
565,63
566,61
567,30
568,80
569,38
570,50
571,66
572,72
573,8
574,69
575,57
576,41
577,27
578,43
579,40
580,27
581,59
582,60
583,53
584,51
585,61
586,44
587,62
588,20
589,38
590,42
591,65
592,58
593,42
594,15
595,43
596,34
597,70
598,70
599,33
600,55
601,25
602,47
603,68
604,41
605,68
606,52
607,46
608,39
609,49
610,60
611,46
612,34
613,41
614,40
615,54
616,39
617,82
618,80
619,57
620,45
621,-5
622,30
623,73
624,42
625,46
626,51
627,53
628,30
629,76
630,19
631,50
632,114
633,30
634,48
635,30
636,16
637,37
638,36
639,66
640,50
641,43
642,33
643,59
644,38
645,97
646,28
647,26
648,63
649,21
650,25
651,72
652,22
653,53
654,96
655,19
656,47
657,49
658,77
659,49
660,55
661,52
662,63
663,83
664,51
665,51
666,25
667,45
668,69
669,51
670,48
671,51
672,66
673,60
674,37
675,79
676,44
677,43
678,11
679,43
680,54
681,32
682,38
683,104
684,61
685,76
686,32
687,71
688,12
689,46
690,59
691,83
692,72
693,56
694,30
695,40
696,50
697,23
698,44
699,39
700,51
701,101
702,66
703,68
704,49
705,58
706,83
707,65
708,37
709,39
710,58
711,92
712,41
713,71
714,67
715,48
716,68
717,37
718,69
719,74
720,59
721,65
722,50
723,20
724,30
